Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"CONLL2003","gs18","flair_fast_ontonotes_model","WORK_OF_ART","tnnt:WorkOfArt",8,8,8.00,8,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_md_model","LAW","tnnt:Law",1,1,1.00,1,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","stanza_model","LAW","tnnt:Law",2,2,2.00,2,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","flair_ontonotes_model","LAW","tnnt:Law",2,2,2.00,2,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","flair_fast_ontonotes_model","LAW","tnnt:Law",1,1,1.00,1,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_lg_model","LAW","tnnt:Law",2,2,2.00,2,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","stanza_model","LANGUAGE","tnnt:Language",4,4,4.00,4,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_lg_model","LANGUAGE","tnnt:Language",5,5,5.00,5,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","flair_ontonotes_model","LANGUAGE","tnnt:Language",5,5,5.00,5,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","flair_fast_ontonotes_model","LANGUAGE","tnnt:Language",4,4,4.00,4,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","spacy_md_model","QUANTITY","tnnt:Quantity",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","stanza_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","spacy_sm_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","flair_ontonotes_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","flair_fast_ontonotes_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","stanza_model","QUANTITY","tnnt:Quantity",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","allennlp-finegrained-ner","PERSON","tnnt:Person",2241,730,1694.50,2262,0.749116,0.777397,0.253235,0.382026,0.549797,0.292707,0.683623,0.028767,0.800423
"CONLL2003","gs18","allennlp-finegrained-ner","ORG","tnnt:Organisation",1194,472,990.50,1261,0.785488,0.573093,0.226549,0.324730,0.438838,0.257717,0.660804,0.141949,0.667901
"CONLL2003","gs18","allennlp-finegrained-ner","GPE","tnnt:GPE",193,193,193.00,193,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","allennlp-finegrained-ner","PRODUCT","tnnt:Product",2,2,2.00,2,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","allennlp-finegrained-ner","LOC","tnnt:Location",613,28,594.50,615,0.966667,0.732143,0.033442,0.063963,0.141379,0.041331,0.957586,0.071429,0.788462
"CONLL2003","gs18","allennlp-finegrained-ner","NORP","tnnt:NORP",474,114,379.00,476,0.796218,0.850877,0.204641,0.329932,0.521505,0.241294,0.763713,0.017544,0.866071
"CONLL2003","gs18","allennlp-finegrained-ner","EVENT","tnnt:Event",390,35,379.00,397,0.954660,0.514286,0.046154,0.084706,0.169811,0.056426,0.928205,0.200000,0.642857
"CONLL2003","gs18","allennlp-finegrained-ner","FAC","tnnt:FAC",8,8,8.00,8,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","allennlp-finegrained-ner","DATE","tnnt:Date",5,5,5.00,5,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","allennlp-finegrained-ner","WORK_OF_ART","tnnt:WorkOfArt",4,4,4.00,4,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","allennlp-finegrained-ner","LAW","tnnt:Law",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","allennlp-finegrained-ner","MONEY","tnnt:Money",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","allennlp-finegrained-ner","LANGUAGE","tnnt:Language",1,1,1.00,1,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","allennlp-finegrained-ner","TIME","tnnt:Time",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","allennlp-finegrained-ner","CARDINAL","tnnt:Cardinal",1,1,1.00,1,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","allennlp-finegrained-ner","QUANTITY","tnnt:Quantity",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","allennlp-finegrained-ner","PERCENT","tnnt:Percent",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"CONLL2003","gs18","allennlp-finegrained-ner","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
