Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"feng","gs18","flair_ontonotes_model","PERSON","tnnt:Person",15169,5966,11353.50,15558,0.729753,0.704744,0.277177,0.397871,0.538583,0.315454,0.632342,0.065203,0.753900
"feng","gs18","flair_ontonotes_model","NORP","tnnt:NORP",740,712,524.00,864,0.606481,0.477528,0.459459,0.468320,0.473802,0.462963,0.205405,0.174157,0.578231
"feng","ss4","flair_pooled_model","PER","tnnt:Person",14575,5816,10766.00,14936,0.720809,0.716988,0.286106,0.409004,0.551019,0.325192,0.625729,0.062070,0.764436
"feng","ss4","flair_pooled_model","ORG","tnnt:Organisation",15804,3282,13775.50,16002,0.860861,0.678397,0.140882,0.233312,0.384782,0.167411,0.804860,0.060329,0.721952
"feng","ss4","flair_model","ORG","tnnt:Organisation",16080,3202,14095.00,16274,0.866105,0.680512,0.135510,0.226014,0.377146,0.161355,0.812935,0.060587,0.724402
"feng","ss4","flair_pooled_model","MISC","tnnt:NPLLE",2316,1724,2017.50,2684,0.751677,0.386601,0.287781,0.329950,0.361756,0.303285,0.414508,0.213457,0.491519
"feng","gs18","flair_ontonotes_model","EVENT","tnnt:Event",503,434,495.00,642,0.771028,0.338710,0.292247,0.313767,0.328272,0.300491,0.413519,0.320276,0.498305
"feng","gs18","flair_ontonotes_model","DATE","tnnt:Date",8974,3172,7101.00,9116,0.778960,0.635246,0.224538,0.331796,0.465100,0.257884,0.662358,0.044767,0.665017
"feng","gs18","flair_ontonotes_model","WORK_OF_ART","tnnt:WorkOfArt",609,241,657.50,721,0.911928,0.263485,0.104269,0.149412,0.201844,0.118603,0.788177,0.464730,0.492248
"feng","gs18","flair_ontonotes_model","LAW","tnnt:Law",557,119,567.00,599,0.946578,0.268908,0.057451,0.094675,0.154889,0.068172,0.861759,0.352941,0.415584
"feng","gs18","flair_ontonotes_model","CARDINAL","tnnt:Cardinal",114,114,114.00,114,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","flair_ontonotes_model","LANGUAGE","tnnt:Language",496,20,488.50,500,0.977000,0.575000,0.023185,0.044574,0.099826,0.028693,0.967742,0.200000,0.718750
"feng","gs18","flair_ontonotes_model","TIME","tnnt:Time",80,80,80.00,80,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","flair_ontonotes_model","ORDINAL","tnnt:Ordinal",45,45,45.00,45,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","flair_ontonotes_model","PERCENT","tnnt:Percent",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"feng","gs18","flair_ontonotes_model","MONEY","tnnt:Money",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"feng","gs18","flair_ontonotes_model","QUANTITY","tnnt:Quantity",2,2,2.00,2,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","stanza_model","PERSON","tnnt:Person",12087,6129,8303.00,12527,0.662808,0.689183,0.349466,0.463768,0.577002,0.387687,0.529329,0.071790,0.742485
